source_page,source_table,Group,Count,Amount,Month,Sheet_Type,Category,Item Name
1,1,Lunch Menu,269.0,3783.26,May,Summary,,
1,1,Open Food,2.0,4.52,May,Summary,,
1,1,All Day Menu,0.0,61296.15,May,Summary,,
1,2,,787.0,7935.26,May,Details,Fried Chicken,
1,2,,0.0,0.0,May,Details,Combo Items,
1,2,,0.0,2922.54,May,Details,Drink,
1,2,,175.0,358.48,May,Details,Additonal,
1,2,,524.0,7698.91,May,Details,Rice Noodle,
1,2,,50.0,546.94,May,Details,Wonton,
1,2,,244.0,1108.72,May,Details,Milk Tea,
1,2,,0.0,0.0,May,Details,Combo Items Donot Delete,
1,2,,0.0,6217.05,May,Details,Appetizer,
1,2,,816.0,12118.38,May,Details,Ramen,
1,2,,398.0,6000.15,May,Details,Tossed Rice Noodle,
1,2,,269.0,3783.26,May,Details,Lunch Special,
1,2,,941.0,13539.42,May,Details,Tossed Ramen,
1,2,,214.0,2850.3,May,Details,Fried Rice,
1,2,,2.0,4.52,May,Details,Open Food,
1,3,,468.0,6921.26,May,Details,,Beef Tossed Ramen
1,3,,339.0,5045.65,May,Details,,Beef Ramen
1,3,,269.0,3783.26,May,Details,,Lunch Special
1,3,,260.0,3526.47,May,Details,,Pork Tossed Ramen
1,3,,233.0,3303.84,May,Details,,Chicken Rice Noodle Soup
1,3,,222.0,3313.0,May,Details,,Chicken Ramen
1,3,,309.0,3089.87,May,Details,,Mai Special Fried Chicken(8)
1,3,,195.0,3102.44,May,Details,,Beef Tossed Rice Noodle
1,3,,200.0,2906.3,May,Details,,Chicken Tossed Ramen
1,3,,147.0,2316.04,May,Details,,Beef Rice Noodle Soup
1,3,,131.0,1845.21,May,Details,,Pork Ramen
1,3,,118.0,1726.89,May,Details,,Chicken Tossed Rice Noodles
1,3,,91.0,1474.52,May,Details,,House Ramen
1,3,,138.0,1378.05,May,Details,,Mai's Golden Flake Fried Chicken(8)
1,3,,119.0,1063.71,May,Details,,Fried Pork Dumplings(10)
1,3,,72.0,992.7,May,Details,,Pork Tossed Rice Noodle
2,3,,96.0,982.35,May,Details,,Golden Coconut Crunch Chicken(8)
2,3,,72.0,986.46,May,Details,,Pork Rice Noodle Soup
2,3,,80.0,1000.1,May,Details,,Chicken Fried Rice
2,3,,193.0,960.71,May,Details,,Mai OG Fried Chicken Wings(4)
2,3,,196.0,888.71,May,Details,,Brown Sugar Milk Tea w. Boba (24oz)
2,3,,94.0,819.22,May,Details,,Steam Pork Dumplings(10)
2,3,,185.0,726.44,May,Details,,Crispy Spring Roll(3)
2,3,,42.0,684.02,May,Details,,House Rice Noodle Soup
2,3,,46.0,692.23,May,Details,,House Fried Rice
2,3,,138.0,674.01,May,Details,,Tempura Shrimp(3)
2,3,,162.0,651.24,May,Details,,Crispy Pork Egg Roll(3)
2,3,,59.0,589.13,May,Details,,Onion Glory Fried Chicken(8)
2,3,,152.0,555.16,May,Details,,Strawberry Sunrise Tea
2,3,,50.0,546.94,May,Details,,Sichuan Chili Wontons
2,3,,33.0,440.0,May,Details,,Vegetable Ramen
2,3,,30.0,408.55,May,Details,,Vegetable Rice Noodle Soup
2,3,,43.0,434.87,May,Details,,Citrus Honey Fried Chicken  (8)
2,3,,28.0,377.5,May,Details,,Beef Fried Rice
2,3,,29.0,389.91,May,Details,,Shrimp Fried Rice
2,3,,35.0,346.69,May,Details,,Mai Buffalo Chicken Wings(8)
2,3,,87.0,316.02,May,Details,,Golden kiwi
2,3,,118.0,344.71,May,Details,,Dr. Pepper
3,3,,60.0,352.83,May,Details,,Cream Cheese Wonton（6）
3,3,,115.0,338.5,May,Details,,Specialty Drink
3,3,,97.0,284.98,May,Details,,Diet Pepsi
3,3,,46.0,249.14,May,Details,,Spicy Cucumber Salad
3,3,,83.0,238.52,May,Details,,Pepsi
3,3,,47.0,263.68,May,Details,,Cream Cheese Rangoon(6)
3,3,,17.0,213.55,May,Details,,Pork Fried Rice
3,3,,79.0,228.04,May,Details,,Sweet Ice Tea
3,3,,69.0,197.17,May,Details,,Unsweet Ice Tea
3,3,,47.0,184.56,May,Details,,Crispy French Fries
3,3,,20.0,242.53,May,Details,,BF chicken cutlet combo
3,3,,16.0,158.84,May,Details,,Wasabi Spiced Fried Chicken (8)
